Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 Sports Male,G12 Sports Female,G12 Arts Male,G12 Arts Female
Region I,44696,39985,57716,53901,54775,49949,44749,40623,50116,46695,53334,49362,56842,52357,1809,1131,58337,52582,58016,53077,52797,51881,47984,48448,88,53,2263,6660,8751,9711,6724,7432,8347,7721,201,8,18097,13135,0,0,157,123,2031,6567,5925,7410,6047,6191,8854,8530,252,18,16078,12334,0,0,109,92
Region II,33528,29615,43554,40726,40234,37250,33001,29874,36516,34112,38913,36381,39466,37379,890,587,39050,36036,38039,36707,33377,33678,29176,30962,8,14,1529,3803,7164,7597,4478,5637,5449,5565,103,3,8564,6336,148,101,97,98,1579,4304,4915,5496,4082,4548,5526,6071,172,8,7666,6106,74,48,79,83
Region III,111763,99093,137722,129045,128656,118463,106349,96763,115883,108449,121484,113799,127376,120832,4487,2639,127664,118988,123769,118809,110871,111443,99517,103883,107,85,9279,20363,17836,23057,16876,15598,14109,12935,334,18,34749,24148,106,49,232,227,8747,19510,11294,15885,14422,12602,14416,13895,377,22,32168,23583,198,107,188,185
Region IV-A,148658,134593,180652,168750,171104,158208,141426,128191,148100,139152,160965,151902,164264,155965,6732,3799,167945,156116,167648,159528,148609,147668,130226,135169,359,221,13280,29280,28165,33558,24972,22076,9621,9039,329,34,41155,28748,298,120,479,588,12546,28935,18420,24468,21790,18944,11227,10520,354,15,38273,28768,240,96,421,571
Region IV-B - MIMAROPA,35179,31773,43884,39686,39992,36861,34001,30968,37018,34406,37507,35289,38024,36258,991,673,37887,35060,38817,36378,33920,34814,29187,30539,13,6,1296,3295,5145,6187,2827,3087,5987,7037,299,34,9796,7608,117,66,134,118,1119,3239,3051,4080,2507,2591,5939,6961,401,53,8407,7337,74,52,87,97
Region V,71843,64036,83745,74720,78940,72047,66949,59260,71607,65879,71333,65940,74721,70325,1546,1010,79228,71049,84831,78401,71861,73391,59252,65470,255,86,2089,5997,4538,6887,4668,5139,16573,21812,222,29,23426,17652,141,75,276,353,2213,6168,3014,4920,4049,4151,14577,20178,319,19,21165,16648,111,63,253,306
Region VI,73949,67003,91913,84104,88388,80888,73184,66046,82122,75740,85301,78385,89462,83195,3217,2134,94048,84940,99624,91562,81188,82315,67800,72269,44,36,3148,9162,13255,19053,7592,9410,8630,8662,1907,34,29887,21763,116,53,189,216,2687,9176,8974,14030,6553,7879,8475,8349,2307,38,25266,19799,56,68,227,263
Region VII,81596,74054,94407,86582,91439,83887,72711,65826,83055,76469,87826,81590,88596,83422,2623,1610,92805,84135,96304,93175,78736,83106,68678,74720,37,7,3414,9273,8851,14890,9890,9869,14858,15859,1200,61,27218,20224,88,64,285,338,3052,9038,6227,11544,9101,8794,12926,14344,1121,52,24038,18859,76,55,203,313
Region VIII,48459,43518,58681,54213,55601,51556,47401,42562,50124,46504,50990,47206,54820,51619,998,639,57447,50604,56503,53340,49842,51662,41644,46034,0,0,1752,4213,7548,10281,3192,3505,8518,10219,0,0,17012,13209,49,48,35,63,1716,3878,5379,8145,2931,2839,7902,9570,0,0,15044,12144,64,50,16,21
Region IX,44657,40405,50077,45847,47247,43983,40341,37273,41076,38689,43416,40795,45274,43389,1812,1137,47236,43785,47360,46728,37224,41001,29798,34494,10,14,1102,2865,4921,8016,3009,4228,2646,3058,82,33,14856,12517,19,12,83,85,1078,3035,3933,6263,2631,3535,2639,3455,45,1,12178,10373,19,29,50,60
