Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region IV-A,Dasmarinas City,Dasmariñas I,107900,DELFIN J. JARANILLA ELEMENTARY SCHOOL,"BUCAL, SAMPALOC II",CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC II,Public,DepED Managed,School with no Annexes,Purely ES,65,45,44,47,63,53,61,51,45,52,56,65,51,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107901,DASMARIÑAS ELEMENTARY SCHOOL,DON P. CAMPOS AVE.,CAVITE,CITY OF DASMARIÑAS,4th District,ZONE III (POB.),Public,DepED Managed,School with no Annexes,Purely ES,261,215,257,242,262,235,259,238,224,218,308,298,330,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107902,FRANCISCO E. BARZAGA MEMORIAL SCHOOL,D. MANGUBAT ST.,CAVITE,CITY OF DASMARIÑAS,4th District,ZONE III (POB.),Public,DepED Managed,School with no Annexes,Purely ES,195,148,210,197,225,217,207,146,199,146,226,232,213,201,142,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107903,HUMAYAO ELEMENTARY SCHOOL,HUMAYAO RD. ,CAVITE,CITY OF DASMARIÑAS,4th District,LANGKAAN II,Public,DepED Managed,School with no Annexes,Purely ES,57,59,58,55,60,59,56,55,46,45,66,83,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107904,LANGKAAN ELEMENTARY SCHOOL,LANGKAAN I,CAVITE,CITY OF DASMARIÑAS,4th District,LANGKAAN I,Public,DepED Managed,School with no Annexes,Purely ES,186,165,234,178,238,201,193,180,163,138,255,225,199,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107905,MALINTA ELEMENTARY SCHOOL,BRGY. SAMPALOC II,CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC II,Public,DepED Managed,School with no Annexes,Purely ES,81,75,74,61,94,65,59,43,53,62,98,84,74,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107906,NEW ERA ELEMENTARY SCHOOL (BUCAL II ELEMENTARY SCHOOL),"NEW ERA, SAMPALOC V",CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC V,Public,DepED Managed,School with no Annexes,Purely ES,41,35,42,24,44,50,28,36,36,38,56,44,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107907,PALIPARAN ELEMENTARY SCHOOL,PALIPARAN II,CAVITE,CITY OF DASMARIÑAS,4th District,PALIPARAN II,Public,DepED Managed,School with no Annexes,Purely ES,167,169,170,150,222,189,209,184,153,130,216,249,171,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107908,PALIPARAN III ELEMENTARY SCHOOL,PH.  II,CAVITE,CITY OF DASMARIÑAS,4th District,PALIPARAN III,Public,DepED Managed,School with no Annexes,Purely ES,338,299,437,384,392,324,322,336,387,284,416,381,355,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107909,PIELA ELEMENTARY SCHOOL,"PIELA, SAMPALOC III",CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC III,Public,DepED Managed,School with no Annexes,Purely ES,121,114,99,113,125,126,124,103,109,92,110,125,108,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107910,RAMONA S. TIRONA MS,TIRONA RD. ,CAVITE,CITY OF DASMARIÑAS,4th District,SAN AGUSTIN I,Public,DepED Managed,School with no Annexes,Purely ES,72,81,71,73,83,84,75,95,66,63,95,91,84,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107911,SABANG ELEMENTARY SCHOOL,SABANG,CAVITE,CITY OF DASMARIÑAS,4th District,SABANG,Public,DepED Managed,School with no Annexes,Purely ES,83,79,96,91,99,101,116,91,76,96,113,114,134,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107912,SALAWAG ELEMENTARY SCHOOL,SALAWAG,CAVITE,CITY OF DASMARIÑAS,4th District,SALAWAG,Public,DepED Managed,School with no Annexes,Purely ES,252,241,278,277,342,300,319,283,275,268,389,348,349,336,77,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107913,V. P. VILLANUEVA MS (PALAPALA),"PALAPALA, SAMPALOC I",CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC I,Public,DepED Managed,School with no Annexes,Purely ES,87,88,78,79,99,93,105,71,74,70,78,84,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,107914,Z. H. GANA MEM. SCH. (SAN JOSE),CAPT. MARIO SAULOG ST. SAN JOSE,CAVITE,CITY OF DASMARIÑAS,4th District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely ES,43,45,53,54,63,54,54,55,40,36,62,57,56,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,300536,SALAWAG NATIONAL HIGH SCHOOL,THAILAND ST. SAN MARINO CITY,CAVITE,CITY OF DASMARIÑAS,7th District,SALAWAG,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,236,330,304,364,328,327,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301179,EMMANUEL RESURRECCION CONGRESSIONAL INTEGRATED HIGH SCHOOL,"POINSETTIA ST., VIA VERDE VILLAGE",CAVITE,CITY OF DASMARIÑAS,4th District,SAN AGUSTIN II,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,260,241,230,285,288,316,305,0,0,39,60,64,91,46,49,0,0,0,0,151,61,0,0,0,0,49,70,65,86,53,47,0,0,0,0,210,78,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301181,NEW ERA NATIONAL HIGH SCHOOL,2ND ST. NEW ERA,CAVITE,CITY OF DASMARIÑAS,4th District,SAMPALOC V,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,161,223,182,209,217,200,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301182,PALIPARAN NATIONAL HIGH SCHOOL (DASMARINAS NATIONAL HIGH SCHOOL - PALIPARAN ANNEX),"PH.  III, PALIPARAN III",CAVITE,CITY OF DASMARIÑAS,4th District,PALIPARAN III,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,369,409,408,511,527,476,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301183,DASMARIÑAS EAST INTEGRATED HIGH SCHOOL,SAN SIMON,CAVITE,CITY OF DASMARIÑAS,4th District,SAN SIMON (BRGY.  7),Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,381,436,414,499,452,515,472,0,0,17,24,97,63,0,0,22,14,0,0,59,14,0,0,0,0,44,56,95,81,0,0,66,31,0,0,128,35,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301184,DASMARINAS NORTH NATIONAL HIGH SCHOOL (ANNEX G),SAN ISIDRO LABRADOR I,CAVITE,CITY OF DASMARIÑAS,4th District,SAN ISIDRO LABRADOR I,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,484,575,502,629,582,647,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301185,DASMARIÑAS WEST NATIONAL HIGH SCHOOL,SAN ANTONIO DE PADUA I,CAVITE,CITY OF DASMARIÑAS,4th District,SAN ANTONIO DE PADUA I,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,320,334,345,419,399,395,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301186,DASMARIÑAS INTEGRATED HIGH SCHOOL,BUROL I,CAVITE,CITY OF DASMARIÑAS,4th District,BUROL I,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,784,852,869,959,965,1008,965,0,0,92,180,287,341,89,92,0,0,0,0,513,294,0,0,0,0,189,268,341,326,86,129,0,0,0,0,413,249,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,301187,PAG-ASA NATIONAL HIGH SCHOOL (DASMARINAS NATIONAL HIGH SCHOOL - PAG-ASA ANNEX),VICTORIA REYES,CAVITE,CITY OF DASMARIÑAS,4th District,VICTORIA REYES,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,170,179,170,208,215,187,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,305791,EDILBERTO S. LEGASPI INTEGRATED HIGH SCHOOL,LANGKAAN I,CAVITE,CITY OF DASMARIÑAS,4th District,LANGKAAN I,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,193,206,213,245,239,226,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Dasmarinas City,Dasmariñas I,325901,LANGKAAN II NATIONAL HIGH SCHOOL,CHRV2 (R5),CAVITE,CITY OF DASMARIÑAS,4th District,LANGKAAN II,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,151,217,211,226,193,242,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
